,fecha,cod_ine,municipio,departamento,dosis,porcentaje
2510,2022-01-22,50901,"Colcha ""K""",Potosí,2,69
2525,2022-01-22,51601,San Agustin,Potosí,1,79
2526,2022-01-22,51601,San Agustin,Potosí,2,77
2541,2022-01-22,50101,Potosí,Potosí,1,90
2542,2022-01-22,50101,Potosí,Potosí,2,72
2557,2022-01-22,50801,Tupiza,Potosí,1,95
2558,2022-01-22,50801,Tupiza,Potosí,2,86
2573,2022-01-22,50802,Atocha,Potosí,1,100
2574,2022-01-22,50802,Atocha,Potosí,2,92
2589,2022-01-22,31601,Tiraque (Cbba),Cochabamba,1,48
2590,2022-01-22,31601,Tiraque (Cbba),Cochabamba,2,39
2605,2022-01-22,30602,Tacopaya,Cochabamba,1,33
2606,2022-01-22,30602,Tacopaya,Cochabamba,2,28
2621,2022-01-22,30502,Vacas,Cochabamba,1,50
2622,2022-01-22,30502,Vacas,Cochabamba,2,30
2637,2022-01-22,31501,Bolivar,Cochabamba,1,33
2638,2022-01-22,31501,Bolivar,Cochabamba,2,29
2653,2022-01-22,31202,Pojo (Cbba),Cochabamba,1,38
2654,2022-01-22,31202,Pojo (Cbba),Cochabamba,2,30
2669,2022-01-22,30303,Cocapata,Cochabamba,1,42
2670,2022-01-22,30303,Cocapata,Cochabamba,2,40
2685,2022-01-22,31002,Colomi,Cochabamba,1,50
2686,2022-01-22,31002,Colomi,Cochabamba,2,38
2701,2022-01-22,30904,Vinto,Cochabamba,1,60
2702,2022-01-22,30904,Vinto,Cochabamba,2,42
2717,2022-01-22,30202,Pasorapa,Cochabamba,1,39
2718,2022-01-22,30202,Pasorapa,Cochabamba,2,38
2733,2022-01-22,31301,Mizque,Cochabamba,1,49
2734,2022-01-22,31301,Mizque,Cochabamba,2,42
2749,2022-01-22,30302,Morochata,Cochabamba,1,55
2750,2022-01-22,30302,Morochata,Cochabamba,2,43
2765,2022-01-22,31001,Sacaba,Cochabamba,1,53
2766,2022-01-22,31001,Sacaba,Cochabamba,2,42
2781,2022-01-22,30902,Sipe Sipe,Cochabamba,1,60
2782,2022-01-22,30902,Sipe Sipe,Cochabamba,2,44
2797,2022-01-22,30301,Ayopaya (V. De Independencia),Cochabamba,1,53
2798,2022-01-22,30301,Ayopaya (V. De Independencia),Cochabamba,2,45
2813,2022-01-22,30703,Sicaya,Cochabamba,1,45
2814,2022-01-22,30703,Sicaya,Cochabamba,2,40
2829,2022-01-22,31201,Totora(Cbba),Cochabamba,1,49
2830,2022-01-22,31201,Totora(Cbba),Cochabamba,2,41
2845,2022-01-22,31302,Vila Vila,Cochabamba,1,46
2846,2022-01-22,31302,Vila Vila,Cochabamba,2,43
2861,2022-01-22,30905,Colcapirhua,Cochabamba,1,53
2862,2022-01-22,30905,Colcapirhua,Cochabamba,2,44
2877,2022-01-22,31205,Puerto Villarroel,Cochabamba,1,54
2878,2022-01-22,31205,Puerto Villarroel,Cochabamba,2,44
2893,2022-01-22,30903,Tiquipaya,Cochabamba,1,59
2894,2022-01-22,30903,Tiquipaya,Cochabamba,2,46
2909,2022-01-22,31206,Entre Rios,Cochabamba,1,59
2910,2022-01-22,31206,Entre Rios,Cochabamba,2,45
2925,2022-01-22,31101,Tapacari,Cochabamba,1,52
2926,2022-01-22,31101,Tapacari,Cochabamba,2,45
2941,2022-01-22,31403,San Benito,Cochabamba,1,57
2942,2022-01-22,31403,San Benito,Cochabamba,2,49
2957,2022-01-22,31602,Shinahota,Cochabamba,1,64
2958,2022-01-22,31602,Shinahota,Cochabamba,2,51
2973,2022-01-22,31003,Villa Tunari,Cochabamba,1,62
2974,2022-01-22,31003,Villa Tunari,Cochabamba,2,51
2989,2022-01-22,31402,Villa Rivero,Cochabamba,1,66
2990,2022-01-22,31402,Villa Rivero,Cochabamba,2,50
3005,2022-01-22,30501,Arani,Cochabamba,1,70
3006,2022-01-22,30501,Arani,Cochabamba,2,50
3021,2022-01-22,31204,Chimore,Cochabamba,1,63
3022,2022-01-22,31204,Chimore,Cochabamba,2,52
3037,2022-01-22,30404,Sacabamba,Cochabamba,1,70
3038,2022-01-22,30404,Sacabamba,Cochabamba,2,55
3053,2022-01-22,30802,Toko,Cochabamba,1,81
3054,2022-01-22,30802,Toko,Cochabamba,2,55
3069,2022-01-22,30701,Capinota,Cochabamba,1,71
3070,2022-01-22,30701,Capinota,Cochabamba,2,57
3085,2022-01-22,31303,Alalay,Cochabamba,1,74
3086,2022-01-22,31303,Alalay,Cochabamba,2,65
3101,2022-01-22,30901,Quillacollo,Cochabamba,1,72
3102,2022-01-22,30901,Quillacollo,Cochabamba,2,61
3117,2022-01-22,30601,Arque,Cochabamba,1,65
3118,2022-01-22,30601,Arque,Cochabamba,2,59
3133,2022-01-22,31203,Pocona,Cochabamba,1,68
3134,2022-01-22,31203,Pocona,Cochabamba,2,58
3149,2022-01-22,30201,Aiquile,Cochabamba,1,74
3150,2022-01-22,30201,Aiquile,Cochabamba,2,68
3165,2022-01-22,31404,Tacachi,Cochabamba,1,90
3166,2022-01-22,31404,Tacachi,Cochabamba,2,69
3181,2022-01-22,30801,Cliza,Cochabamba,1,90
3182,2022-01-22,30801,Cliza,Cochabamba,2,74
3197,2022-01-22,31401,Punata,Cochabamba,1,93
3198,2022-01-22,31401,Punata,Cochabamba,2,76
3213,2022-01-22,30403,Arbieto,Cochabamba,1,99
3214,2022-01-22,30403,Arbieto,Cochabamba,2,75
3229,2022-01-22,30402,Anzaldo,Cochabamba,1,104
3230,2022-01-22,30402,Anzaldo,Cochabamba,2,81
3245,2022-01-22,30203,Omereque,Cochabamba,1,86
3246,2022-01-22,30203,Omereque,Cochabamba,2,83
3261,2022-01-22,30803,Tolata,Cochabamba,1,108
3262,2022-01-22,30803,Tolata,Cochabamba,2,91
3277,2022-01-22,30401,Tarata,Cochabamba,1,111
3278,2022-01-22,30401,Tarata,Cochabamba,2,93
3293,2022-01-22,30101,Cochabamba,Cochabamba,1,112
3294,2022-01-22,30101,Cochabamba,Cochabamba,2,96
